Date,Dernier,MA_150,MA_100,MA_50,RSI
2023-04-15,0.2843593711665125,21646.839333333333,24074.262,26094.433999999997,68.69476588192592
2023-04-16,0.2844603393285145,21737.633333333335,24207.856,26237.318,68.75471711720226
2023-04-17,0.2761998225979957,21822.944,24332.769,26354.841999999997,58.82864407793121
2023-04-18,0.2851388076320607,21914.164,24465.400999999998,26492.604000000003,64.75792604376538
2023-04-19,0.2703380074357861,21997.677333333333,24581.737,26606.268000000004,51.526194738215075
2023-04-20,0.2649291335610621,22080.772666666668,24689.751,26698.234,47.69117089051235
2023-04-21,0.2557221582652348,22154.451999999997,24782.975999999995,26774.222,41.965490422446614
2023-04-22,0.2609036178685338,22229.052,24872.602000000003,26883.412,45.90182123175483
2023-04-23,0.2588040462755015,22302.32,24949.246,26988.298,44.582256876946005
2023-04-24,0.25802932794836464,22375.633333333335,25014.756999999998,27089.917999999998,44.07872438355902
2023-04-25,0.2654792684998207,22454.582,25088.947,27207.694,49.9346598620297
2023-04-26,0.26666635212410583,22534.57533333333,25161.350999999995,27332.23,50.81842094250728
2023-04-27,0.276586709947723,22623.003333333334,25244.739000000005,27487.532000000003,57.560564642574484
2023-04-28,0.2751325796893577,22708.879333333334,25331.251,27666.732000000004,56.34134100584995
2023-04-29,0.2743050182120142,22789.347333333335,25412.78,27848.28,55.619294054855
2023-04-30,0.27447487119482133,22871.214666666663,25478.529000000002,28023.972,55.74465480623922
2023-05-01,0.2633919640666578,22944.441333333332,25531.548,28145.628000000004,46.51251446181101
2023-05-02,0.26897352180723566,23023.00533333333,25591.161,28236.721999999998,50.920924214528746
2023-05-03,0.27231868194085335,23102.412,25652.242000000002,28323.2,53.399848569335944
2023-05-04,0.2706059976975484,23181.58266666667,25714.338000000003,28414.388,51.953001545331176
2023-05-05,0.2769386830732066,23264.408666666666,25778.918999999998,28504.57,56.631945301357135
2023-05-06,0.27074754184988764,23344.554666666667,25837.33,28533.876,51.36546714540021
2023-05-07,0.2666682393794704,23419.215333333334,25890.832000000002,28564.082000000002,48.18582676726266
2023-05-08,0.2595504557721705,23489.514,25937.258,28558.318,43.16492931992317
2023-05-09,0.25921452431728537,23559.565333333336,25976.076,28556.605999999996,42.937529736495605
2023-05-10,0.25891633796969066,23629.631999999998,26023.786999999997,28546.391999999996,42.722382455337176
2023-05-11,0.2530677335950327,23694.786,26062.371,28540.827999999998,38.633436923325085
2023-05-12,0.2513286277766244,23754.923333333332,26093.107000000004,28510.597999999998,37.484577402704815
2023-05-13,0.25112386056957364,23814.797333333336,26126.606,28496.904,37.34376504642442
2023-05-14,0.25246853001679653,23878.556666666667,26161.494,28485.791999999998,38.96522165960421
2023-05-15,0.2549587634702851,23948.91866666667,26200.095,28470.0,41.96074085821136
2023-05-16,0.25355653273444423,24017.306666666667,26241.088,28468.11,40.748007792939326
2023-05-17,0.25702719534980273,24088.386666666665,26287.501,28470.928,44.98611542609496
2023-05-18,0.25160039254911576,24157.631333333335,26323.264,28440.48,40.15025598041556
2023-05-19,0.25211844414667745,24224.16533333333,26362.446999999996,28417.548000000003,40.8044370784606
2023-05-20,0.254319927529394,24292.728000000003,26415.683999999997,28390.398,43.62446524658949
2023-05-21,0.2508634193292694,24358.923333333332,26466.833,28356.273999999998,40.37242444942662
2023-05-22,0.2517825126917923,24426.044666666665,26516.708000000002,28329.254,41.61867830017445
2023-05-23,0.25530601845735745,24495.268,26571.047,28317.626,46.256217866658616
2023-05-24,0.24688602864853643,24558.578666666665,26616.605,28280.906000000003,38.405214509473495
